stored_name	slug	kind	website	name	description_de	description_en	events	note
bricks	bricks	promoter	https://bricks-berlin.de/	BRICKS			2	
Brighter	brighter	promoter		Brighter			1	Brighter Agency, Schokoladen co-billing
Bum	bum	junk		Bum			1	Badehaus; deleted by V026
ByteFM	bytefm	media	https://www.byte.fm/	ByteFM	"ByteFM ist ein Internetradio aus Hamburg „für gute Musik"", werbefrei und getragen von seinen Hörer:innen. Der Sender präsentiert Konzerte, in Berlin vor allem im Columbia Theater."	"ByteFM is an internet radio station from Hamburg ""for good music"", ad-free and funded by its listeners. It presents concerts, in Berlin mostly at Columbia Theater."	6	
Casius	casius	unverified		Casius			1	Privatclub
Channel	channel-music	promoter	https://channelmusic.de/	Channel Music	Channel Music betreibt die Gastronomie in Huxleys Neue Welt, Metropol, Quasimodo und Hole 44 und veranstaltet dort gelegentlich selbst.	Channel Music runs the catering at Huxleys Neue Welt, Metropol, Quasimodo and Hole 44, and occasionally promotes shows there itself.	1	Hole 44 credits "Channel Music presents"; the strip left "Channel" and V026 dropped it (#1361); V032 renames it
Chicha	chicha	party		Chicha			2	
Chimperator	chimperator	promoter	https://chimperator.de/	Chimperator	Chimperator ist ein Label, eine Talentschmiede und ein Live-Veranstalter aus Stuttgart, Heimat von Die Orsons, Maeckes, Tua, Teesy und OG Keemo. In Berlin laufen die Shows unter anderem im Bi Nuu.	Chimperator is a label, talent house and live promoter from Stuttgart, home to Die Orsons, Maeckes, Tua, Teesy and OG Keemo. Its Berlin shows run at Bi Nuu, among others.	1	
Chnsw!	chnsw	party		CHNSW!			4	source writes CHNSW!
Coming Home	coming-home	unverified		Coming Home			1	
Como Esta Wally Producciones Y Management Sl	como-esta-wally-producciones-y-management-sl	promoter		Como Esta Wally Producciones Y Management Sl			3	Spanish company, Cosmic Comedy
Concert Concept	concert-concept	promoter	https://www.concert-concept.de/	Concert Concept	Concert Concept ist die Berliner Tochter der DEAG und örtlicher Veranstalter in Berlin, Potsdam, Leipzig und Dresden. Das Programm reicht von Rock und Pop über Familien-Entertainment bis zu Klassik und Jazz, vom Privatclub bis zur Max-Schmeling-Halle.	Concert Concept is DEAG's Berlin subsidiary and the local promoter in Berlin, Potsdam, Leipzig and Dresden. Its programme runs from rock and pop to family entertainment, classical and jazz, from Privatclub to the Max-Schmeling-Halle.	15	DEAG
Concertbüro Zahlmann	concertburo-zahlmann	promoter	https://www.cbz.events/	Concertbüro Zahlmann			2	
Contigo	contigo	unverified		Contigo			1	Cosmic Comedy
Contra	contra	unverified		Contra			2	Columbia Theater
Cornershop	cornershop	unverified		Cornershop			2	Cosmic Comedy
Cosmic Comedy Berlin	cosmic-comedy-berlin	venue	https://www.cosmiccomedyclub.com/	Cosmic Comedy Berlin	Cosmic Comedy Berlin ist ein Comedy-Club für Stand-up auf Englisch. An mehreren Abenden pro Woche laufen Open Mics und Showcases, mit Pizza und Shots für das Publikum.	Cosmic Comedy Berlin is a comedy club for stand-up in English. Open mics and showcases run several nights a week, with pizza and shots for the crowd.	25	club own shows
Cosmic Romance	cosmic-romance	promoter	https://cosmic-romance.com	Cosmic Romance			1	RA: https://ra.co/promoters/110970
Crunch Tapes	crunch-tapes	promoter	https://www.crunchtapes.com/	Crunch Tapes			1	site writes CRUNCH TAPES
Cyberfunk + Urban Spree	cyberfunk-urban-spree	party		Cyberfunk + Urban Spree			1	co-billing not split (+)
d2mberlin	d2mberlin	promoter	https://d2mberlin.de/	d2mberlin			1	
Dancing With Myself	dancing-with-myself	party		Dancing With Myself			1	see Berlin Pop Nights
Das forgotten female* composers	das-forgotten-female-composers	junk		Das forgotten female* composers			1	title fragment; deleted by V026
Decibel Touring	decibel-touring	promoter		Decibel Touring			1	site not found
Deep Medi	deep-medi	promoter		Deep Medi			1	label
Deputamadre Berlin	deputamadre-berlin	unverified		Deputamadre Berlin			1	
Destiny Tourbooking	destiny-tourbooking	promoter	https://www.destiny-tourbooking.com/	Destiny Tourbooking			1	
Deutsches Polen-Institut	deutsches-polen-institut	sponsor	https://www.deutsches-polen-institut.de/	Deutsches Polen-Institut			1	
die lesebühne	die-lesebuhne	promoter	https://www.dielesebuehne.de/	die lesebühne			3	
Diffus	diffus	media	https://diffus.de/	DIFFUS	DIFFUS ist ein Musik- und Kulturmagazin für Deutschland, Österreich und die Schweiz, seit 2014 in Berlin-Kreuzberg, mit Videos, Podcasts und zwei Printausgaben im Jahr. Es präsentiert Konzerte in Berlin, unter anderem in der Zitadelle, im Frannz Club und im Columbia Theater.	DIFFUS is a music and culture magazine for Germany, Austria and Switzerland, based in Berlin-Kreuzberg since 2014, with videos, podcasts and two print issues a year. It presents concerts in Berlin, at the Zitadelle, Frannz Club and Columbia Theater among others.	4	site writes DIFFUS
Dirty Dancing Party	dirty-dancing-party	party		Dirty Dancing Party			2	
DJ Rebel	dj-rebel	party		DJ Rebel			5	
Dlf	deutschlandfunk	media	https://www.deutschlandfunk.de/	Deutschlandfunk			1	stored as Dlf
Doomstar	doomstar-bookings	promoter	https://doomstarbookings.com/	Doomstar Bookings			1	
Dynablaster	dynablaster	party		Dynablaster			1	
dynamis	dynamis	sponsor	https://www.dynamis-berlin.de/	dynamis			0	non-profit (Reisen für Menschen mit Beeinträchtigung), credited at Lido
Echo	echo	unverified		Echo			7	Bi Nuu, 7 events; JSON has a URL, not read yet
Echo Vision Artist Management	echo-vision-artist-management	promoter		Echo Vision Artist Management			1	
Echoes of Pandora	echoes-of-pandora	unverified		Echoes of Pandora			1	
Effetto Notte	effetto-notte	unverified		Effetto Notte			1	
Einen Hab Ich Noch	einen-hab-ich-noch	unverified		Einen Hab Ich Noch			1	Columbia Theater
Emergenza	emergenza	promoter	https://www.emergenza.net/	Emergenza			1	festival
Eskapaden	eskapaden	unverified		Eskapaden			2	Bi Nuu
Estetica Torta	estetica-torta	unverified		Estetica Torta			1	
Europe Deadheads	europe-deadheads	promoter	https://europedeadheads.com/	Europe Deadheads			3	fan community
F-Cat	f-cat	unverified		F-Cat			1	
Fandom Night	fandom-night	party		Fandom Night			3	Badehaus; no site
Fania Brava	fania-brava	party	https://instagram.com/faniabravaparty/	Fania Brava			1	RA: Instagram is the only site
Feinster HipHop	feinster-hiphop	party		Feinster HipHop			1	
Festsaal Kreuzberg	festsaal-kreuzberg	venue	https://festsaal-kreuzberg.de/	Festsaal Kreuzberg	Der Festsaal Kreuzberg ist ein Konzert- und Veranstaltungshaus mit Festsaal, Kaminzimmer, Ostflügel und Biergarten. Als Veranstalter bucht das Haus auch Shows im Bi Nuu.	Festsaal Kreuzberg is a concert and event house with a main hall, a fireside room, an east wing and a beer garden. As a promoter it also books shows at Bi Nuu.	8	Festsaal Kreuzberg Booking
Fever & Nova Sky Stories	fever-nova-sky-stories	promoter		Fever & Nova Sky Stories			1	drone show co-billing
FKP Scorpio	fkp-scorpio	promoter	https://fkpscorpio.com/	FKP Scorpio	FKP Scorpio ist einer der größten Konzertveranstalter Europas, mit Sitz in Hamburg – vom Clubkonzert über Arena-Tourneen bis zu Festivals wie Hurricane und Southside. In Berlin veranstaltet FKP unter anderem im Quasimodo, Hole 44 und Velodrom.	FKP Scorpio is one of Europe's largest concert promoters, based in Hamburg, from club shows and arena tours to festivals such as Hurricane and Southside. In Berlin it promotes at Quasimodo, Hole 44 and the Velodrom, among others.	6	
FluxFM	fluxfm	media	https://www.fluxfm.de/	FluxFM	"FluxFM ist ein Berliner Radiosender – „Radio so bunt wie Berlin"" – mit handverlesener Musik jenseits des Mainstreams und Popkultur, im Radio, im Livestream und in der eigenen App. Der Sender präsentiert Konzerte in der Stadt, unter anderem in der Zitadelle und im Frannz Club."	"FluxFM is a Berlin radio station – ""radio as colourful as Berlin"" – with hand-picked music beyond the mainstream and pop culture, on air, on its livestream and in its own app. It presents concerts across the city, at the Zitadelle and Frannz Club among others."	5	logo: press page offers a logo download (fluxfm.de/presse), no usage terms stated
Frack & Spitzenhöschen	frack-spitzenhoschen	artist		Frack & Spitzenhöschen			1	show name
Frank Martini	frank-martini	party		Frank Martini			1	
Friendly Reminder	friendly-reminder	promoter	https://www.friendlyreminder.live/	Friendly Reminder	Friendly Reminder ist eine internationale Booking-Agentur für ausgewählte Acts, veranstaltet Tourneen in Deutschland und ist in Berlin lokaler Veranstalter für nationale und internationale Partner. Bis 2026 hieß die Agentur listenagency.	Friendly Reminder is an international booking agency for selected acts, promotes tours in Germany and is a local promoter in Berlin for national and international partners. Until 2026 the agency was called listenagency.	4	was listenagency
Fritz	fritz	media	https://www.fritz.de/	Fritz			1	rbb radio
Frontstage Magazine	frontstage-magazine	media	https://frontstage-magazine.de/	Frontstage Magazine			2	
Full Contact Safari	full-contact-safari	unverified		Full Contact Safari			1	
Fumie	fumie	unverified	https://www.fumie.de/	Fumie			1	site has no title
Furiosa	furiosa	party		Furiosa			2	Lido
Geisburg	geisburg	promoter		Geisburg			1	Geisburg Records, Schokoladen
Girls Town Party	girls-town-party	party		Girls Town Party			1	
GoToBeat	gotobeat	promoter	https://gotobeat.com/	Gotobeat			3	stored GoToBeat; site Gotobeat
Greyzone Concerts	greyzone-concerts	promoter	https://www.greyzone-concerts.de/	Greyzone Concerts	Greyzone Concerts ist ein Berliner Konzertveranstalter für Indie, Alternative, Post-Punk und Psychedelic. Die Shows laufen in Clubs wie Cassiopeia, Neue Zukunft, Urban Spree und Lido.	Greyzone Concerts is a Berlin promoter for indie, alternative, post-punk and psychedelic acts. Its shows run in clubs such as Cassiopeia, Neue Zukunft, Urban Spree and Lido.	34	
Hasenscheisse	hasenscheisse	artist		Hasenscheisse			1	show name
HB Music	hb-music	promoter	https://hb-music.de/	HB Music			1	
Headline	headline-concerts	promoter	https://headlineconcerts.de/	Headline Concerts	Headline (headline music) ist ein Veranstalter aus Bonn für Mittelalter-Rock, Folk, Dark und Electro, mit Künstlern wie In Extremo, Schandmaul, dArtagnan, Unheilig und Heldmaschine. In Berlin laufen die Shows unter anderem im Hole 44 und in Huxleys Neue Welt.	Headline (headline music) is a Bonn-based promoter for medieval rock, folk, dark and electro acts such as In Extremo, Schandmaul, dArtagnan, Unheilig and Heldmaschine. In Berlin its shows run at Hole 44 and Huxleys Neue Welt, among others.	7	redirects to headlinemusic.de
Heesen	heesen	unverified		Heesen			1	Columbiahalle
Helping Hands Allstars	helping-hands-allstars	artist		Helping Hands Allstars			1	
Hockeypark Betriebs	hockeypark-betriebs	promoter		Hockeypark Betriebs			1	Hockeypark Betriebs GmbH, Mönchengladbach
Hollywood Tramp	hollywood-tramp	party	https://www.hollywoodtramp.de/	Hollywood Tramp			1	
Ibb	ibb-booking	promoter	https://www.ibb-booking.com/	IBB Booking			2	same site as Boldt Berlin
Ilija Gabrilenko	ilija-gabrilenko	promoter		Ilija Gabrilenko			1	person, Urban Spree
Impericon	impericon	promoter	https://www.impericon.com/	Impericon			1	
Itd	itd-events	promoter		ITD Events			1	Hole 44 credits "ITD Events presents" (drag); no site found; the strip left "Itd" and V026 dropped it (#1361); V032 renames it
Jb Freie	jb-freie-musik	promoter	https://www.jb-store.de/	JB Freie Musik			1	Joel Brandenstein's company (Ratingen); Huxleys credit read as Jb Freie until #307
Jm Audio	jm-audio-entertainment	promoter		JM Audio Entertainment			1	Huxleys credit read as Jm Audio until #307
Join	join	unverified		Join			2	Max-Schmeling-Halle, rap
Jungle World	jungle-world	media	https://jungle.world/	Jungle World			1	weekly
Karsten Jahnke Konzertdirektion	karsten-jahnke-konzertdirektion	promoter	https://kj.de/	Karsten Jahnke Konzertdirektion			1	"logo: press page offers ""KJ Logo-Set"" (kj.de/presse.html), no usage terms stated"
Katharsis	katharsis	unverified		Katharsis			1	
Kiezpoeten	kiezpoeten	promoter	https://kiezpoeten.com/	Kiezpoeten			3	
King David Soundsystem	king-david-soundsystem	artist		King David Soundsystem			1	
King Kong Kicks	king-kong-kicks	party	https://kingkongkicks.com/	King Kong Kicks	"King Kong Kicks ist eine Indie-Pop-Party – „Tanzen, Trinken, Knutschen"" – die seit Jahren in Berlin und einem Dutzend weiterer Städte läuft, mit Giant Rooks, Two Door Cinema Club und Kraftklub auf den Playlists. Die Schwesterpartys heißen Wilde Herzen und Team 80s."	"King Kong Kicks is an indie-pop party – ""dance, drink, kiss"" – that has run for years in Berlin and a dozen other cities, with Giant Rooks, Two Door Cinema Club and Kraftklub on the playlists. Its sister parties are Wilde Herzen and Team 80s."	14	site writes KING KONG KICKS
Kingstar	kingstar-music	promoter	https://www.kingstar-music.com/	Kingstar Music			2	Kingstar GmbH, Hamburg
Kinky Hub	kinkyhub-berlin	party	https://www.kinkyhub.de/	KinkyHub Berlin			1	
kj der käpt'n	kj-der-kapt-n	artist		kj der käpt'n			1	karaoke host
KKT	kkt	promoter	https://kkt.berlin/	KKT	KKT – Kikis Kleiner Tourneeservice – ist eine Berliner Tourneeagentur aus Kreuzberg. Auf der Liste stehen Die Ärzte, Die Toten Hosen, Tocotronic, Feine Sahne Fischfilet, Danger Dan und die Einstürzenden Neubauten.	KKT – Kikis Kleiner Tourneeservice – is a Berlin touring agency based in Kreuzberg. Its roster includes Die Ärzte, Die Toten Hosen, Tocotronic, Feine Sahne Fischfilet, Danger Dan and Einstürzende Neubauten.	4	
klassix	klassix	unverified		klassix			1	
Kneipenabend	kneipenabend	junk		Kneipenabend			3	Schokoladen bar night; deleted by V026
Kommune	kommune	unverified		Kommune			1	
Kontramarka	kontramarka	promoter	https://www.kontramarka.de/	Kontramarka			1	Russian-language ticket agency
Konzertbüro Schoneberg	konzertburo-schoneberg	promoter	https://www.schoneberg.de/	Konzertbüro Schoneberg	Das Konzertbüro Schoneberg veranstaltet Rock und Pop, Klassik, Kabarett und Comedy, mit Büros in Berlin, Hamburg, Köln, Frankfurt, München und Münster. In Berlin laufen die Shows unter anderem im Lido, Privatclub und Huxleys Neue Welt.	Konzertbüro Schoneberg promotes rock and pop, classical, cabaret and comedy, with offices in Berlin, Hamburg, Cologne, Frankfurt, Munich and Münster. In Berlin its shows run at Lido, Privatclub and Huxleys Neue Welt, among others.	18	
Kulturalarm	kulturalarm	venue	https://kulturalarm.com/	kulturALARM	kulturALARM e.V. wurde 2008 gegründet, um Kunst, Nachwuchs und Musikkultur zu fördern, und betreibt seit 2010 das Kulturhaus Insel Berlin auf der Insel der Jugend in Treptow. Dort veranstaltet der Verein Konzerte und Festivals, darunter das Monkey Island Festival.	kulturALARM e.V. was founded in 2008 to support art, new talent and music culture, and has run Kulturhaus Insel Berlin on the Insel der Jugend in Treptow since 2010. It promotes concerts and festivals there, among them the Monkey Island Festival.	6	e.V. behind Kulturhaus Insel
Kulturnews	kulturnews	media	https://kulturnews.de/	kulturnews	kulturnews ist ein Kulturmagazin aus Hamburg mit täglichen Tipps zu Kino, Serien, Musik, Literatur, Kunst und Bühne. Es präsentiert Konzerte in Berlin, unter anderem in der Zitadelle, im Columbia Theater und im Frannz Club.	kulturnews is a culture magazine from Hamburg with daily tips on film, series, music, books, art and stage. It presents concerts in Berlin, at the Zitadelle, Columbia Theater and Frannz Club among others.	7	site lowercase
Kunst&Krawall	kunst-krawall	promoter		Kunst&Krawall			1	Insel slam series
Kuratorin Anika Meier	kuratorin-anika-meier	junk		Kuratorin Anika Meier			1	role + person; deleted by V026
Känguruh Production	kanguruh-production	promoter	https://www.kaenguruh.de/	Känguruh Production			2	Halle
L'Oreille en friche	l-oreille-en-friche	promoter		L'Oreille en friche			1	
Landstreicher	landstreicher-konzerte	promoter	https://landstreicher-konzerte.de/	Landstreicher Konzerte	Landstreicher Konzerte veranstaltet seit 2014 in Berlin und im Osten Deutschlands: Rap und R'n'B, Indie, Alternative, Rock, Pop, Electronic, dazu Podcasts, Lesungen und Stand-up. Das Sublabel Vertikal Concerts (seit 2019) bucht Punk, Hardcore und Metal.	Landstreicher Konzerte has promoted shows in Berlin and eastern Germany since 2014: rap and R&B, indie, alternative, rock, pop and electronic, plus podcasts, readings and stand-up. Its sub-label Vertikal Concerts (since 2019) books punk, hardcore and metal.	99	
Lars Berndt	lars-berndt-events	promoter	https://www.lb-events.de/	Lars Berndt Events			3	Bochum
LassMaMachen	lassmamachen	unverified		LassMaMachen			1	
le petit signal	le-petit-signal	promoter		le petit signal			1	Schokoladen collective
Leasing&rent	leasing-rent-ou	unverified		LEASING&RENT OÜ			1	Privatclub names the Estonian company as local promoter of a Rita Dakota date; a legal name with no site; V032 renames it (#1361)
Levanto	levanto	unverified		Levanto			1	Cosmic Comedy
Lido Berlin	lido-berlin	venue	https://www.lido-berlin.de/	Lido Berlin			1	
Light The Blind	light-the-blind	artist	https://www.lighttheblind.de/	Light The Blind			1	band
Listen	listen	promoter	https://www.listencollective.com/	Listen			1	Listen Collective, not listenagency
little league shows	little-league-shows	promoter	https://littleleagueshows.tumblr.com/	little league shows	Little League Shows veranstaltet seit Mitte der 2000er als DIY-Kollektiv Konzerte in Berlin: Indie, Punk, Post-Punk und Wave, meist im Schokoladen.	Little League Shows has put on shows in Berlin as a DIY collective since the mid-2000s: indie, punk, post-punk and wave, mostly at Schokoladen.	4	minted on production 2026-09-13 from Schokoladen's "little league shows prsnt:" credit; the site and the credit write the name in lower case, and so does the row
Live Embassy	live-embassy	unverified		Live Embassy			1	
Live Nation	live-nation	promoter	https://www.livenation.de/	Live Nation	Live Nation Germany ist die deutsche Tochter von Live Nation Entertainment, dem größten Live-Entertainment-Unternehmen der Welt, und veranstaltet Tourneen und Shows von der Clubgröße bis zur Arena. In Berlin laufen die Konzerte unter anderem im Velodrom, UFO im Velodrom und Frannz Club.	Live Nation Germany is the German arm of Live Nation Entertainment, the world's largest live-entertainment company, and promotes tours and shows from club size to arena. In Berlin its concerts run at the Velodrom, UFO im Velodrom and Frannz Club, among others.	4	
Local Advisor	local-advisor	unverified		Local Advisor			1	
Loft Concerts	loft-concerts	promoter	https://loft.de/	Loft Concerts	Loft Concerts geht auf den Club „Loft“ zurück, den Monika Döring 1982 über dem Metropol am Nollendorfplatz gründete. Heute ist Loft eine Berliner Konzertagentur für Indie, Pop und Singer-Songwriter, mit Shows von der Kantine am Berghain bis zur Columbiahalle.	"Loft Concerts goes back to the ""Loft"", the club Monika Döring opened above the Metropol on Nollendorfplatz in 1982. Today Loft is a Berlin concert agency for indie, pop and singer-songwriters, with shows from Kantine am Berghain to the Columbiahalle."	68	
Luv`n Musiq	luv-n-musiq	unverified		Luv`n Musiq			1	
M-Art	m-art	promoter	https://www.m-art.de/	M-Art			1	site title Willkommen
Maelføy	maelfoy	artist		Maelføy			1	act
Mailive	mailive	promoter		Mailive			1	Vanessa Mai
malespace	malespace	party		malespace			1	
Manfred Hertlein Veranstaltungs	manfred-hertlein	promoter		Manfred Hertlein			1	Würzburg; strip Veranstaltungs
Mansions and Millions	mansions-and-millions	promoter		Mansions and Millions			1	label
Marlene Von Steenvag	marlene-von-steenvag	promoter		Marlene Von Steenvag			2	burlesque festival
Mawi	mawi-concert	promoter	https://www.mawi-concert.de/	MAWI Concert			3	
MB-Konzerte	mb-konzerte	promoter		MB Konzerte			1	
Mct	mct-agentur	promoter	https://www.mct-agentur.com/	MCT Agentur			5	
Medibüro Berlin	mediburo-berlin	sponsor	https://medibuero.de/	Medibüro Berlin			1	
Messed!Up Magazine	messed-up-magazine	media	https://www.messedmag.com/	Messed!Up Magazine			2	
Metal Hammer	metal-hammer	media	https://www.metal-hammer.de/	Metal Hammer			1	
Metal.de	metal-de	media	https://www.metal.de/	metal.de			1	site lowercase
Mfp	mfp-concerts	promoter	https://mfpconcerts.com/	MFP Concerts	MFP Concerts ist eine Konzert- und Bookingagentur aus Reichertshofen, seit über 20 Jahren auf Tourneen nationaler und internationaler Acts in Deutschland und Europa, von Rock bis Jazz.	MFP Concerts is a concert and booking agency from Reichertshofen, touring national and international acts across Germany and Europe for over 20 years, from rock to jazz.	1	Lido credits "MFP Concerts" with a link; the strip left "Mfp" and V026 dropped it (#1361); V032 renames it
Michael Koch	michael-koch	artist		Michael Koch			1	
Milchmädchen Musikkultur	milchmadchen-musikkultur	promoter		Milchmädchen Musikkultur			1	
Milchsalon	milchsalon	promoter	https://milchsalon.de/	Milchsalon			1	
Miller-Zillmer Foundation	miller-zillmer-foundation	sponsor		Miller-Zillmer Foundation			3	site not found
Mind Enterprises	mind-enterprises	promoter		Mind Enterprises			1	wrestling
Morabeza	morabeza	party		Morabeza			1	
More Zvukov	more-zvukov	promoter	https://morezvukov.nl	More Zvukov			1	RA lists it as More Zvukov Agency
Mup	mup	junk		Mup			1	deleted by V026
MusikBlog	musikblog	media	https://www.musikblog.de/	MusikBlog	MusikBlog ist ein Online-Magazin für neue Musik, Konzerttermine und Newcomer, mit Alben, Videos, Interviews und Ticketverlosungen. Es präsentiert Konzerte in Berlin, unter anderem im Columbia Theater, Bi Nuu und Frannz Club.	MusikBlog is an online magazine for new music, concert dates and newcomers, with albums, videos, interviews and ticket giveaways. It presents concerts in Berlin, at Columbia Theater, Bi Nuu and Frannz Club among others.	6	
Musikexpress	musikexpress	media	https://www.musikexpress.de/	Musikexpress			1	
Musikparade	musikparade	promoter		Musikparade			3	site 500
Musikschule Béla Bartók	musikschule-bela-bartok	sponsor		Musikschule Béla Bartók			1	
MusiX	musix	media		MusiX			1	magazine
Muziqme	muziqme	promoter	https://www.muziqme.de/	Muziqme			1	
MyMusic	mymusic	unverified		MyMusic			1	
Mystiek	mystiek	unverified		Mystiek			1	
Neuland	neuland	unverified		Neuland			1	
neuwerk Music Management	neuwerk-music-management	promoter	https://neuwerk-music.com/	neuwerk Music Management			3	
New Berlin	new-berlin-konzerte	promoter	https://berlinkonzerte.de/	New Berlin Konzerte	New Berlin Konzerte veranstaltet seit 2000 im Großraum Berlin: Rock und Pop, Jazz und Folk, Lesungen, Comedy und Kindermusicals. Zusammen mit der Karsten Jahnke Konzertdirektion richtet die Agentur die JazzNights aus.	New Berlin Konzerte has promoted events across Berlin since 2000: rock and pop, jazz and folk, readings, comedy and children's musicals. Together with Karsten Jahnke Konzertdirektion it runs the JazzNights series.	30	New Berlin Konzerte & Events GmbH; absorbs Berlinkonzerte
Niemals	niemals	junk		Niemals			1	title; deleted by V026
Nina Queer	nina-queer	artist		Nina Queer			1	
Nova	nova	junk		Nova			1	deleted by V026
