name	home	description_licence	image_licence	licence_source_url	licence_note
Bi Nuu	https://binuu.de/	UNCLEAR	UNCLEAR	https://binuu.de/	No legal or press page linked from the homepage. Nothing found that decides it.
Cassiopeia	https://cassiopeia-berlin.de/	UNCLEAR	UNCLEAR	https://cassiopeia-berlin.de/datenschutz	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Clash Club	https://clash-berlin.de/	UNCLEAR	UNCLEAR	https://clash-berlin.de/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Club der Visionäre	https://clubdervisionaere.com/programm	UNCLEAR	UNCLEAR	https://clubdervisionaere.com/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Club OST	https://clubost.de/	UNCLEAR	UNCLEAR	https://clubost.de/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Colosseum	https://www.colosseumberlin.com/event	UNCLEAR	UNCLEAR	https://siteassets.parastorage.com/pages/pages/thunderbolt?appDefinitionIdToSiteRevision=%7B%2258be0514-fc10-4eb1-886e-2909d18f33b3%22%3A%221131%22%2C%22553c79f3-5625-4f38-b14b-ef7c0d1e87df%22%3A%22307%22%2C%221522827f-c56c-a5c9-2ac9-00f9e6ae12d3%22%3A%221903%22%2C%2214271d6f-ba62-d045-549b-ab972ae1f70e%22%3A%2225%22%7D&appDefinitionIdsWithCustomCss=%5B%2258be0514-fc10-4eb1-886e-2909d18f33b3%22%2C%22553c79f3-5625-4f38-b14b-ef7c0d1e87df%22%5D&beckyExperiments=.DatePickerPortal%2C.DisableDocumentScrollWhenLightBoxOpen%2C.EnableCustomCSSVarsForLoginSocialBar%2C.FreemiumBannerOdeditor%2C.LoginBarEnableLoggingInStateInSSR%2C.TextInputAutoFillFix%2C.UseLoginSocialBarCustomMenu%2C.UseNestedLoginSocialBarMenuItems%2C.UseNewLoginBarDropdownMenuAlignment%2C.UseNewLoginSocialBarElementStructure%2C.UseNewLoginSocialBarMemberInitialsAvatar%2C.WixFreeSiteBannerDesktop%2C.WixFreeSiteBannerMobile%2C.a11yContrast%2C.addIdAsClassName%2C.allowWebpAvifTransforms%2C.builderBoxSizingBorderBox%2C.buttonUdp%2C.calculateCollapsibleTextLineHeightByFont%2C.dom_store%2C.dontApplyDacOverridesOnBoBApps%2C.dynamicPageLinkTarget%2C.dynamicSlots%2C.fiveGridLineStudioSkins%2C.fixFirefoxLinkBarIntrinsicSizing%2C.fixRemappedFullNameCompType%2C.imageEncodingAVIF%2C.isClassNameToRootEnabled%2C.logVsmFeaturesModuleDiff%2C.motionTimeAnimationsCSS%2C.responsiveContainerRoleGroup%2C.sectionA11yProps%2C.shouldIgnoreWidgetsPageData%2C.shouldUseResponsiveImages%2C.splitSlotSelectors%2C.stopResolvingInnerSelectors_VAG%2C.svgResolver_2%2C.updateRichTextSemanticClassNamesOnCorvid%2C.useClassnameInResponsiveAppWidget%2C.useFragmentHrefForTopBottomAnchor%2C.useImageAvifFormatInNativeProGallery%2C.useResponsiveImgClassicFixed%2C.useSvgLoaderFeature%2C.useSvgLoaderFeatureOnBuilderComps%2C.useWowImageInFastGallery%2C.vsmFeaturesModule&blocksBuilderManifestGeneratorVersion=1.129.0&commonConfig=%7B%22siteRevision%22%3A%224%22%2C%22branchId%22%3A%229f6b9ccd-40c0-4143-9d69-5e6f83d6ff6f%22%7D&contentType=application%2Fjson&deviceType=Desktop&dfCk=6&dfVersion=1.5507.0&disableStaticPagesUrlHierarchy=false&editorName=Unknown&experiments=dm_bgScrubToMotionFixer%2Cdm_masterPageVariablesQueryFixer%2Cdm_migrateOldHoverBoxToNewFixer&externalBaseUrl=https%3A%2F%2Fwww.colosseumberlin.com&fileId=6ea91920.bundle.min&formFactor=desktop&hasTPAWorkerOnSite=false&hasUserDomainMedia=false&isBuilderComponentModel=false&isHttps=true&isInSeo=false&isMultilingualEnabled=false&isPremiumDomain=true&isTrackClicksAnalyticsEnabled=false&isUrlMigrated=true&isWixCodeOnPage=false&isWixCodeOnSite=false&language=de&languageResolutionMethod=QueryParam&metaSiteId=8905a5cc-f271-444b-9e49-8a978049520c&module=thunderbolt-features&originalLanguage=de&pageId=882d4f_46aca9a9cfbc65c9fe276235e92266b9_2.json&pilerExperiments=specs.piler.useEditorReactComponents&quickActionsMenuEnabled=false&registryLibrariesTopology=%5B%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22wixui%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15465.0%22%7D%2C%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22dsgnsys%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15465.0%22%7D%5D&remoteWidgetStructureBuilderVersion=1.251.0&siteId=fdf8875a-8a41-48b2-957a-940f85ea1bb9&siteRevision=4&staticHTMLComponentUrl=https%3A%2F%2Fwww-colosseumberlin-com.filesusr.com%2F&useSandboxInHTMLComp=false&viewMode=desktop	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Columbia Theater	https://columbia-theater.de/	UNCLEAR	UNCLEAR	https://columbia-theater.de/datenschutz/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Columbiahalle	https://www.columbiahalle.berlin/veranstaltungen.html	UNCLEAR	UNCLEAR	https://www.columbiahalle.berlin/veranstaltungen.html	No legal or press page linked from the homepage. Nothing found that decides it.
Cosmic Comedy Club	https://comedyclubberlin.com/wp-json/tribe/events/v1/events	UNCLEAR	UNCLEAR	https://comedyclubberlin.com/wp-json/tribe/events/v1/events	No legal or press page linked from the homepage. Nothing found that decides it.
Crack Bellmer	https://www.crackbellmer.de/program/this-month	UNCLEAR	UNCLEAR	https://www.crackbellmer.de/imprint	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Der Weiße Hase	https://derweissehase.club/events	PROHIBITED	PROHIBITED	https://derweissehase.club/impressum	"Impressum, self-authored: ""Die Vervielfaeltigung von Informationen oder Daten, insbesondere die Verwendung von Texten, Textteilen oder Bildmaterial bedarf der jeweiligen vorherigen Zustimmung"". Names texts and images, and carries no statutory carve-out."
Duncker Club	https://www.dunckerclub.de/	UNCLEAR	UNCLEAR	https://www.dunckerclub.de/	No legal or press page linked from the homepage. Nothing found that decides it.
Eschschloraque Rümschrümp	https://www.eschschloraque.de/	UNCLEAR	UNCLEAR	https://www.eschschloraque.de/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Festsaal Kreuzberg	https://festsaal-kreuzberg.de/de	UNCLEAR	UNCLEAR	https://festsaal-kreuzberg.de/de/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Frannz Club	https://frannz.eu/	UNCLEAR	UNCLEAR	https://frannz.eu/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
gART.n	https://www.gartn.xyz/	UNCLEAR	UNCLEAR	https://gartnimpressum.carrd.co	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Gärten der Welt	https://www.gaertenderwelt.de/events/veranstaltungen/	UNCLEAR	UNCLEAR	https://www.gaertenderwelt.de/service/pressefotos/	"Press page grants use of ITS press-kit photos only, with attribution, ""in der Presse sowie in analogen Publikationen ausschliesslich zur Bewerbung unserer Parkanlagen"". Does not cover the event images we scrape."
Golden Gate	https://goldengate-berlin.de/	UNCLEAR	UNCLEAR	https://goldengate-berlin.de/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Gretchen	https://www.gretchen-club.de/	UNCLEAR	UNCLEAR	https://mailchimp.com/legal/terms	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Havanna	https://www.havanna-berlin.de/	UNCLEAR	UNCLEAR	https://www.havanna-berlin.de/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Heideglühen	https://heidegluehen.berlin/monatsvorschau/	UNCLEAR	UNCLEAR	https://heidegluehen.berlin/monatsvorschau/	No legal or press page linked from the homepage. Nothing found that decides it.
Heimathafen Neukölln	https://heimathafen-neukoelln.de/	UNCLEAR	UNCLEAR	https://heimathafen-neukoelln.de/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Hole 44	https://hole-berlin.de/	UNCLEAR	UNCLEAR	https://hole-berlin.de/privacy-policy	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Humboldthain Club	https://www.humboldthain.com/	UNCLEAR	UNCLEAR	https://www.humboldthain.com/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Huxleys Neue Welt	https://huxleysneuewelt.de/events	UNCLEAR	UNCLEAR	https://huxleysneuewelt.de/press	"Press area exists but reads ""Der Pressebereich befindet sich in der Vorbereitung""."
Junction Bar	https://www.junction-bar.de/	UNCLEAR	UNCLEAR	https://www.junction-bar.de/	No legal or press page linked from the homepage. Nothing found that decides it.
Kantine am Berghain	https://www.berghain.berlin/de/program/kantine-am-berghain/	UNCLEAR	UNCLEAR	https://www.berghain.berlin/de/imprint/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Kater	https://www.katerclub.de/	UNCLEAR	UNCLEAR	https://www.katerclub.de/impressum-datenschutz/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Klunkerkranich	https://klunkerkranich.org/events/	UNCLEAR	UNCLEAR	https://klunkerkranich.org/imprint/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Kulturhaus Insel Berlin	https://www.inselberlin.de/	UNCLEAR	UNCLEAR	https://www.inselberlin.de/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Kulturhaus Peter Edel	https://www.peteredel.de/events/	PROHIBITED	PROHIBITED	https://www.peteredel.de/impressum/	"Impressum: ""Vervielfaeltigungen und sonstige Verwertungen ... insbesondere Verwendung von Texten, Textteilen oder Bildmaterial, beduerfen ... der vorherigen Zustimmung"". Names texts and images, no statutory carve-out."
LARK	https://larkberlin.com/events/	UNCLEAR	UNCLEAR	https://larkberlin.com/imprint/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Lido	https://www.lido-berlin.de/	UNCLEAR	UNCLEAR	https://www.lido-berlin.de/pages/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Loge	https://www.loge-berlin.org/	UNCLEAR	UNCLEAR	https://siteassets.parastorage.com/pages/pages/thunderbolt?appDefinitionIdToSiteRevision=%7B%221522827f-c56c-a5c9-2ac9-00f9e6ae12d3%22%3A%221903%22%2C%22333b456e-dd48-4d6b-b32b-9fd48d74e163%22%3A%221118%22%2C%22b976560c-3122-4351-878f-453f337b7245%22%3A%221358%22%7D&beckyExperiments=.DatePickerPortal%2C.DisableDocumentScrollWhenLightBoxOpen%2C.EnableCustomCSSVarsForLoginSocialBar%2C.FreemiumBannerOdeditor%2C.LoginBarEnableLoggingInStateInSSR%2C.TextInputAutoFillFix%2C.UseLoginSocialBarCustomMenu%2C.UseNestedLoginSocialBarMenuItems%2C.UseNewLoginBarDropdownMenuAlignment%2C.UseNewLoginSocialBarElementStructure%2C.UseNewLoginSocialBarMemberInitialsAvatar%2C.WixFreeSiteBannerDesktop%2C.WixFreeSiteBannerMobile%2C.a11yContrast%2C.addIdAsClassName%2C.allowWebpAvifTransforms%2C.builderBoxSizingBorderBox%2C.buttonUdp%2C.calculateCollapsibleTextLineHeightByFont%2C.dom_store%2C.dontApplyDacOverridesOnBoBApps%2C.dynamicPageLinkTarget%2C.dynamicSlots%2C.fiveGridLineStudioSkins%2C.fixFirefoxLinkBarIntrinsicSizing%2C.fixRemappedFullNameCompType%2C.imageEncodingAVIF%2C.isClassNameToRootEnabled%2C.logVsmFeaturesModuleDiff%2C.motionTimeAnimationsCSS%2C.responsiveContainerRoleGroup%2C.sectionA11yProps%2C.shouldIgnoreWidgetsPageData%2C.shouldUseResponsiveImages%2C.splitSlotSelectors%2C.stopResolvingInnerSelectors_VAG%2C.svgResolver_2%2C.updateRichTextSemanticClassNamesOnCorvid%2C.useClassnameInResponsiveAppWidget%2C.useFragmentHrefForTopBottomAnchor%2C.useImageAvifFormatInNativeProGallery%2C.useResponsiveImgClassicFixed%2C.useSvgLoaderFeature%2C.useSvgLoaderFeatureOnBuilderComps%2C.useWowImageInFastGallery%2C.vsmFeaturesModule&blocksBuilderManifestGeneratorVersion=1.129.0&contentType=application%2Fjson&deviceType=Other&dfCk=6&dfVersion=1.5507.0&disableStaticPagesUrlHierarchy=false&editorName=Unknown&experiments=dm_bgScrubToMotionFixer%2Cdm_masterPageVariablesQueryFixer%2Cdm_migrateOldHoverBoxToNewFixer&externalBaseUrl=https%3A%2F%2Fwww.loge-berlin.org&fileId=1ff83e7f.bundle.min&formFactor=desktop&hasTPAWorkerOnSite=false&hasUserDomainMedia=false&isBuilderComponentModel=false&isHttps=true&isInSeo=false&isMultilingualEnabled=true&isPremiumDomain=true&isTrackClicksAnalyticsEnabled=false&isUrlMigrated=true&isWixCodeOnPage=false&isWixCodeOnSite=true&language=de&languageResolutionMethod=QueryParam&metaSiteId=2e63b6f3-532c-4f29-9abd-8cc97705fb40&module=thunderbolt-features&originalLanguage=de&pageId=c8299d_235172326d4d54079eab2eb35620d03c_495.json&pilerExperiments=specs.piler.useEditorReactComponents&quickActionsMenuEnabled=false&registryLibrariesTopology=%5B%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22wixui%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15455.0%22%7D%2C%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22dsgnsys%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15455.0%22%7D%5D&remoteWidgetStructureBuilderVersion=1.251.0&siteId=f4687812-1cfc-4f62-ad2d-74cfab3669b2&siteRevision=496&staticHTMLComponentUrl=https%3A%2F%2Fwww-loge-berlin-org.filesusr.com%2F&useSandboxInHTMLComp=false&viewMode=desktop	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
MAAYA	https://maaya.de/	UNCLEAR	UNCLEAR	https://maaya.de/	No legal or press page linked from the homepage. Nothing found that decides it.
Madame Claude	https://madameclaude.de/	UNCLEAR	UNCLEAR	https://madameclaude.de/imprint/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Matrix Club Berlin	https://www.matrix-berlin.de/	UNCLEAR	UNCLEAR	https://www.matrix-berlin.de/kontakt/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Max-Schmeling-Halle	https://www.velomax.de/events	UNCLEAR	UNCLEAR	https://www.velomax.de/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Maxxim Club	https://www.maxxim-berlin.de/partys	UNCLEAR	UNCLEAR	https://siteassets.parastorage.com/pages/pages/thunderbolt?appDefinitionIdToSiteRevision=%7B%2213d21c63-b5ec-5912-8397-c3a5ddb27a97%22%3A%22440%22%2C%221522827f-c56c-a5c9-2ac9-00f9e6ae12d3%22%3A%221903%22%2C%2250b1bebe-6887-4ba1-bd12-c2c80208a2be%22%3A%22178%22%2C%22bbf2074d-9a2c-4553-bc2c-e2f065bed974%22%3A%2213%22%2C%2214271d6f-ba62-d045-549b-ab972ae1f70e%22%3A%2225%22%2C%2214bcded7-0066-7c35-14d7-466cb3f09103%22%3A%221335%22%2C%22deb18ef1-e0c6-4668-a7bc-4a13785eb5b7%22%3A%22823%22%2C%2252d47087-aa23-46d7-b773-5ab6939f555b%22%3A%221154%22%7D&beckyExperiments=.DatePickerPortal%2C.DisableDocumentScrollWhenLightBoxOpen%2C.EnableCustomCSSVarsForLoginSocialBar%2C.FreemiumBannerOdeditor%2C.LoginBarEnableLoggingInStateInSSR%2C.TextInputAutoFillFix%2C.UseLoginSocialBarCustomMenu%2C.UseNestedLoginSocialBarMenuItems%2C.UseNewLoginBarDropdownMenuAlignment%2C.UseNewLoginSocialBarElementStructure%2C.UseNewLoginSocialBarMemberInitialsAvatar%2C.WixFreeSiteBannerDesktop%2C.WixFreeSiteBannerMobile%2C.a11yContrast%2C.addIdAsClassName%2C.allowWebpAvifTransforms%2C.builderBoxSizingBorderBox%2C.buttonUdp%2C.calculateCollapsibleTextLineHeightByFont%2C.dom_store%2C.dontApplyDacOverridesOnBoBApps%2C.dynamicPageLinkTarget%2C.dynamicSlots%2C.fiveGridLineStudioSkins%2C.fixDocumentLinkInPremiumPreview%2C.fixFirefoxLinkBarIntrinsicSizing%2C.fixRemappedFullNameCompType%2C.imageEncodingAVIF%2C.isClassNameToRootEnabled%2C.logVsmFeaturesModuleDiff%2C.motionTimeAnimationsCSS%2C.responsiveContainerRoleGroup%2C.sectionA11yProps%2C.shouldIgnoreWidgetsPageData%2C.shouldUseResponsiveImages%2C.splitSlotSelectors%2C.stopResolvingInnerSelectors_VAG%2C.svgResolver_2%2C.updateRichTextSemanticClassNamesOnCorvid%2C.useClassnameInResponsiveAppWidget%2C.useFragmentHrefForTopBottomAnchor%2C.useImageAvifFormatInNativeProGallery%2C.useResponsiveImgClassicFixed%2C.useSvgLoaderFeature%2C.useSvgLoaderFeatureOnBuilderComps%2C.useWowImageInFastGallery%2C.vsmFeaturesModule&blocksBuilderManifestGeneratorVersion=1.129.0&contentType=application%2Fjson&deviceType=Desktop&dfCk=6&dfVersion=1.5507.0&disableStaticPagesUrlHierarchy=false&editorName=Unknown&experiments=dm_bgScrubToMotionFixer%2Cdm_masterPageVariablesQueryFixer%2Cdm_migrateOldHoverBoxToNewFixer&externalBaseUrl=https%3A%2F%2Fwww.maxxim-berlin.de&fileId=6ea91920.bundle.min&formFactor=desktop&hasTPAWorkerOnSite=true&hasUserDomainMedia=false&isBuilderComponentModel=false&isHttps=true&isInSeo=false&isMultilingualEnabled=false&isPremiumDomain=true&isTrackClicksAnalyticsEnabled=true&isUrlMigrated=true&isWixCodeOnPage=false&isWixCodeOnSite=true&language=de&languageResolutionMethod=QueryParam&metaSiteId=3149f188-a04f-4388-942e-4b79b28ad49b&module=thunderbolt-features&originalLanguage=de&pageId=8948df_6f218f70d6b8921799efcba46d1f8de1_3084.json&pilerExperiments=specs.piler.useEditorReactComponents&quickActionsMenuEnabled=false&registryLibrariesTopology=%5B%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22wixui%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15465.0%22%7D%2C%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22dsgnsys%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15465.0%22%7D%5D&remoteWidgetStructureBuilderVersion=1.251.0&siteId=4700c88b-6342-4f1c-b66c-928e0ed80ea3&siteRevision=3084&staticHTMLComponentUrl=https%3A%2F%2Fwww-maxxim-berlin-de.filesusr.com%2F&useSandboxInHTMLComp=false&viewMode=desktop	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Metropol	https://metropol-berlin.de/events	UNCLEAR	UNCLEAR	https://metropol-berlin.de/events	No legal or press page linked from the homepage. Nothing found that decides it.
migas	https://migas.berlin/program/	UNCLEAR	UNCLEAR	https://migas.berlin/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Mikropol	https://mikropol-berlin.de/	UNCLEAR	UNCLEAR	https://mikropol-berlin.de/privacy-policy	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Modus Berlin	https://modus-berlin.de/events	UNCLEAR	UNCLEAR	https://modus-berlin.de/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Monarch	https://www.kottimonarch.de/	UNCLEAR	UNCLEAR	https://www.kottimonarch.de/	No legal or press page linked from the homepage. Nothing found that decides it.
Monster Ronson's Ichiban Karaoke	https://www.karaokemonster.de/	UNCLEAR	UNCLEAR	https://www.karaokemonster.de/impressum-datenschutzerklaerung	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Morphine Raum	http://www.morphinerecords.com/events	UNCLEAR	UNCLEAR	http://www.morphinerecords.com/media/plugins/msnlnz/cart/cart.css	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
MS Hoppetosse	https://hoppetosse.berlin/	UNCLEAR	UNCLEAR	https://hoppetosse.berlin/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Neue Zukunft	https://neue-zukunft.org/	UNCLEAR	UNCLEAR	https://neue-zukunft.org/	No legal or press page linked from the homepage. Nothing found that decides it.
OHM	https://ohmberlin.com/	UNCLEAR	UNCLEAR	https://ohmberlin.com/	No legal or press page linked from the homepage. Nothing found that decides it.
Panke Culture	https://www.pankeculture.com/programme/	UNCLEAR	UNCLEAR	https://www.pankeculture.com/imprint	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Parkbühne Wuhlheide	https://www.wuhlheide.de/programm	UNCLEAR	UNCLEAR	https://www.wuhlheide.de/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Privatclub	https://privatclub-berlin.de/	UNCLEAR	UNCLEAR	https://privatclub-berlin.de/datenschutz/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Quasimodo	https://quasimodo.club/events	UNCLEAR	UNCLEAR	https://quasimodo.club/privacy-policy	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Renate	https://www.renate.cc/	UNCLEAR	UNCLEAR	https://www.renate.cc/	No legal or press page linked from the homepage. Nothing found that decides it.
Ritter Butzke	https://club.ritterbutzke.com/events	UNCLEAR	UNCLEAR	https://club.ritterbutzke.com/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Roadrunner's Paradise	http://www.roadrunners-paradise.de/	UNCLEAR	UNCLEAR	http://www.roadrunners-paradise.de/	No legal or press page linked from the homepage. Nothing found that decides it.
Säälchen	https://www.holzmarkt.com/kalender	UNCLEAR	UNCLEAR	https://www.holzmarkt.com/kalender	No legal or press page linked from the homepage. Nothing found that decides it.
Schokoladen	https://www.schokoladen-mitte.de/	UNCLEAR	UNCLEAR	https://www.schokoladen-mitte.de/page/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
silent green	https://www.silent-green.net/programm	UNCLEAR	UNCLEAR	https://www.silent-green.net/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
SO36	https://www.so36.com/tickets	UNCLEAR	UNCLEAR	https://www.so36.com/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Soda Club	https://www.soda-berlin.de/events	UNCLEAR	UNCLEAR	https://www.soda-berlin.de/impressum	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Sonnenraum	https://clubdervisionaere.com/programm	UNCLEAR	UNCLEAR	https://clubdervisionaere.com/impressum/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Supamolly	https://www.supamolly.de/?p=programm	UNCLEAR	UNCLEAR	https://www.supamolly.de/index.php?p=impressum&l=de	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Tempodrom	https://www.tempodrom.de/programm-und-tickets/	UNCLEAR	UNCLEAR	https://www.tempodrom.de/programm-und-tickets/	No legal or press page linked from the homepage. Nothing found that decides it.
Theater im Delphi	https://theater-im-delphi.de/programm/	UNCLEAR	UNCLEAR	https://theater-im-delphi.de/impressum-2/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
Tresor	https://tresorberlin.com/club/events/	UNCLEAR	UNCLEAR	https://tresorberlin.com/privacy/	Read the linked legal page. Either silent on reuse, or the standard German copyright boilerplate that restates the statute (see CALIBRATION.md).
