venue	decision	file	licence_at_review	file_page	found_by
Kulturhaus Insel Berlin	CONFIRMED	Kulturhaus Insel Berlin.jpg	CC BY 3.0 de	https://commons.wikimedia.org/wiki/File:Kulturhaus_Insel_Berlin.jpg	commons-title
Kulturhaus Peter Edel	REJECTED				commons-nearby
LARK	REJECTED				commons-title
Lido	CONFIRMED	Lido Nightclub Berlin Rock AG.jpg	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Lido_Nightclub_Berlin_Rock_AG.jpg	commons-title
Loge	REJECTED				commons-title
MAAYA	REJECTED				commons-title
Madame Claude	CONFIRMED	Madame Claude Bar Berlin.jpg	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Madame_Claude_Bar_Berlin.jpg	commons-title
Matrix	CONFIRMED	Matrix Nightclub Berlin Dancing.jpg	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Matrix_Nightclub_Berlin_Dancing.jpg	commons-title
Max-Schmeling-Halle	CONFIRMED	Außenansicht vom Falkplatz aus.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Au%C3%9Fenansicht_vom_Falkplatz_aus.jpg	wikidata-p18
MAXXIM	REJECTED				commons-nearby
Metropol	CONFIRMED	Metropol–Neues Schauspielhaus Berlin in der Dunkelheit.jpg	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Metropol%E2%80%93Neues_Schauspielhaus_Berlin_in_der_Dunkelheit.jpg	commons-title
migas	REJECTED				commons-title
Mikropol	REJECTED				commons-nearby
Modus Berlin	REJECTED				commons-nearby
Monarch	REJECTED				commons-title
Monster Ronson's Ichiban Karaoke	REJECTED				commons-nearby
Morphine Raum	REJECTED				commons-nearby
MS Hoppetosse	CONFIRMED	MS Hoppetosse, Eichenstraße 4, Berlin-Treptow.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:MS_Hoppetosse,_Eichenstra%C3%9Fe_4,_Berlin-Treptow.jpg	commons-title
Neue Zukunft	REJECTED				commons-title
OHM	REJECTED				commons-title
Panke Culture	REJECTED				commons-nearby
Parkbühne Wuhlheide	CONFIRMED	Wuhlheide B-Oberschoeneweide 08-2017 img1.jpg	FAL	https://commons.wikimedia.org/wiki/File:Wuhlheide_B-Oberschoeneweide_08-2017_img1.jpg	wikidata-p18
Privatclub	REJECTED				commons-title
Quasimodo	REJECTED				commons-title
Renate	CONFIRMED	Wilde Renate Berlin.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Wilde_Renate_Berlin.jpg	commons-title
Ritter Butzke	CONFIRMED	Berlin Ritterstraße Aqua Carré Haus D.jpg	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Berlin_Ritterstra%C3%9Fe_Aqua_Carr%C3%A9_Haus_D.jpg	wikidata-p18
Roadrunner's Paradise	CONFIRMED	Roadrunner's Paradise Königstadt.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Roadrunner%27s_Paradise_K%C3%B6nigstadt.jpg	commons-title
Schokoladen	WITHDRAWN	52379283633	CC BY-SA 2.0	https://www.flickr.com/photos/128011305@N08/52379283633	openverse-flickr
silent green	CONFIRMED	The Good Woman of Sichuan – Premiere 10 Juni 2021 im Kino im Silent Green Kulturquartier 1.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:The_Good_Woman_of_Sichuan_%E2%80%93_Premiere_10_Juni_2021_im_Kino_im_Silent_Green_Kulturquartier_1.jpg	commons-title
SO36	CONFIRMED	Berlin-kreuzberg so36 20051019 307.jpg	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Berlin-kreuzberg_so36_20051019_307.jpg	wikidata-p18
Soda Club	REJECTED				commons-title
Sonnenraum	REJECTED				commons-nearby
Supamolly	REJECTED				commons-nearby
Säälchen	CONFIRMED	Holzmarkt Berlin Säälchen.jpg	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Holzmarkt_Berlin_S%C3%A4%C3%A4lchen.jpg	commons-title
Tempodrom	CONFIRMED	Tempodrom.jpg	CC BY 3.0 de	https://commons.wikimedia.org/wiki/File:Tempodrom.jpg	wikidata-p18
Theater im Delphi	REJECTED	Delphi 01106.JPG	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Delphi_01106.JPG	wikidata-p18
Tresor	CONFIRMED	Tresor Nightclub Berlin Entrance Sign.jpg	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Tresor_Nightclub_Berlin_Entrance_Sign.jpg	commons-title
Uber Arena	CONFIRMED	Uber Arena Berlin 2024.jpg	CC0	https://commons.wikimedia.org/wiki/File:Uber_Arena_Berlin_2024.jpg	wikidata-p18
Uber Eats Music Hall	CONFIRMED	Verti Music Hall.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Verti_Music_Hall.jpg	wikidata-p18
UFO im Velodrom	CONFIRMED	Ufo Ansicht - UFO im Velodrom.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Ufo_Ansicht_-_UFO_im_Velodrom.jpg	commons-title
Urania	CONFIRMED	Gebäude der Urania Berlin .jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Geb%C3%A4ude_der_Urania_Berlin_.jpg	commons-title
Urban Spree	REJECTED	Urban Spree Galerie Eingangsbereich.jpg	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Urban_Spree_Galerie_Eingangsbereich.jpg	wikidata-p18
Velodrom	CONFIRMED	Berlin - Velodrom - 1.jpg	Attribution	https://commons.wikimedia.org/wiki/File:Berlin_-_Velodrom_-_1.jpg	wikidata-p18
VOID Club	REJECTED				commons-nearby
Wild at Heart	CONFIRMED	3931255538	CC BY-SA 2.0	https://www.flickr.com/photos/42550952@N04/3931255538	openverse-flickr
Zenner	CONFIRMED	Heidekampgraben Berlin 15 Brücke Alt-Treptow.jpg	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Heidekampgraben_Berlin_15_Br%C3%BCcke_Alt-Treptow.jpg	wikidata-p18
Zitadelle	REJECTED	U-Bahn Berlin U7 Zitadelle 1.JPG	CC BY-SA 2.0 de	https://commons.wikimedia.org/wiki/File:U-Bahn_Berlin_U7_Zitadelle_1.JPG	wikidata-p18
ÆDEN	CONFIRMED	Berlin (30369301743).jpg	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Berlin_(30369301743).jpg	commons-nearby
